知识点,总题数,正确数,掌握度
1.1 操作系统的定义,12,9,0.3141
1.1.1 基本概念,17,14,0.4084
1.1.2 计算机系统的视图,27,18,0.4513
1.1.3 操作系统的基本功能,26,21,0.3242
1.2 操作系统的形成和发展,29,27,0.4481
1.3 操作系统的分类,19,11,0.4719
1.4 操作系统的运行环境,12,6,0.3547
1.5 操作系统的结构,11,6,0.2158
1.6 现代操作系统,30,27,0.5946
1.6.1 现代操作系统技术特性,26,15,0.4
1.6.2 UNIX技术特性,20,14,0.2856
1.6.3 Linux技术特性,15,11,0.4421
1.6.4 Windows Server技术特性,20,19,0.6039
2.1 多道程序与并发执行,19,12,0.4617
2.1.1 单道程序的顺序执行,12,9,0.4055
2.1.2 多道程序的并发执行,22,15,0.3971
2.2 进程模型,15,10,0.7196
2.2.1 进程的概念,25,18,0.4067
2.2.2 进程的实体,17,15,0.5993
2.2.3 进程状态和转换,16,10,0.3187
2.2.4 进程控制,18,11,0.4524
2.3 线程模型,17,11,0.3704
2.3.1 线程的概念,18,14,0.5582
2.3.2 线程与进程的比较,16,11,0.5121
2.3.3 线程的实现,20,11,0.2749
2.3.4 线程调度激发,17,12,0.4156
2.4 多核、多线程与超线程,15,11,0.5121
2.5 进程、线程管理实例,18,14,0.4927
3.1 进程互斥,16,10,0.3782
3.1.1 并发原理,15,9,0.3911
3.1.2 临界资源与临界区,18,11,0.36336
3.1.3 互斥的软、硬件实现方法,20,12,0.3917
3.1.4 信号量和P、V操作,14,9,0.1672
3.2 进程同步,14,11,0.5665
3.2.1 进程同步概念,16,11,0.4503
3.2.2 用P、V操作实现同步,18,14,0.5326
3.3 进程通信,15,10,0.3262
3.3.1 进程通信的类型,16,11,0.5525
3.3.2 进程通信中的问题,18,10,0.2158
3.3.3 消息传递,17,12,0.5319
3.4 死锁,16,10,0.3488
3.4.1 死锁的概念,18,14,0.5015
3.4.2 死锁的必要条件,16,11,0.34184
3.4.3 死锁的防止,18,14,0.4458
3.4.4 死锁的避免,17,11,0.3254
3.4.5 死锁检测与恢复,15,10,0.2738
3.4.6 两阶段加锁,16,11,0.3889
3.4.7 活锁,18,13,0.4828
3.4.8 饥饿,17,12,0.5234
3.5 经典问题,15,11,0.51688
3.5.1 读者-写者问题,16,11,0.51688
3.5.2 哲学家进餐问题,18,11,0.3485
3.5.3 打瞌睡的理发师问题,17,12,0.4411
3.6 多核环境下的进程同步,16,11,0.4603
3.7 进程同步与通信实例,17,12,0.5326
