knowledge_point,questions_done,total_questions,correct_rate,mastery
1.1 操作系统的定义,9,12,0.3927,0.3141
1.1.1 基本概念,14,17,0.4755,0.4084
1.1.2 计算机系统的视图,18,27,0.6154,0.4513
1.1.3 操作系统的基本功能,21,26,0.3832,0.3242
1.2 操作系统的形成和发展,27,29,0.4743,0.4481
1.3 操作系统的分类,11,19,0.7116,0.4719
1.4 操作系统的运行环境,6,12,0.5912,0.3547
1.5 操作系统的结构,6,11,0.3391,0.2158
1.6 现代操作系统,27,30,0.6463,0.5946
1.6.1 现代操作系统技术特性,15,26,0.6046,0.4
1.6.2 UNIX技术特性,14,20,0.3758,0.2856
1.6.3 Linux技术特性,11,15,0.562,0.4421
1.6.4 Windows Server技术特性,19,20,0.6291,0.6039
2.1 多道程序与并发执行,12,19,0.6547,0.4617
2.1.1 单道程序的顺序执行,9,12,0.5069,0.4055
2.1.2 多道程序的并发执行,15,22,0.5327,0.3971
2.2 进程模型,10,15,0.9813,0.7196
2.2.1 进程的概念,18,25,0.5241,0.4067
2.2.2 进程的实体,15,17,0.6615,0.5993
2.2.3 进程状态和转换,12,18,0.4345,0.3187
2.2.4 进程控制,15,17,0.4994,0.4524
2.3 线程模型,13,21,0.5327,0.3704
2.3.1 线程的概念,9,17,0.8952,0.5582
2.3.2 线程与进程的比较,10,13,0.4042,0.3296
2.3.3 线程的实现,11,17,0.383,0.2749
2.3.4 线程调度激发,15,29,0.677,0.4156
2.4 多核、多线程与超线程,15,20,0.6401,0.5121
2.5 进程、线程管理实例,29,30,0.5062,0.4927
3.1 进程互斥,24,30,0.4502,0.3782
3.1.1 并发原理,14,24,0.4945,0.3297
3.1.2 临界资源与临界区,15,17,0.5014,0.4542
3.1.3 互斥的软、硬件实现方法,17,22,0.4118,0.3369
3.1.4 信号量和P、V操作,19,20,0.1742,0.1672
3.2 进程同步,25,28,0.6196,0.5665
3.2.1 进程同步概念,19,23,0.5231,0.4503
3.2.2 用P、V操作实现同步,25,26,0.7222,0.7
3.3 进程通信,13,25,0.5296,0.3262
3.3.1 进程通信的类型,18,20,0.6005,0.5525
3.3.2 进程通信中的问题,5,11,0.3829,0.2158
3.3.3 消息传递,23,29,0.6374,0.5319
3.4 死锁,5,10,0.5813,0.3488
3.4.1 死锁的概念,8,12,0.6838,0.5015
3.4.2 死锁的必要条件,9,16,0.6574,0.4273
3.4.3 死锁的防止,14,16,0.4954,0.4458
3.4.4 死锁的避免,14,28,0.5423,0.3254
3.4.5 死锁检测与恢复,12,19,0.3883,0.2738
3.4.6 两阶段加锁,13,21,0.5593,0.3889
3.4.7 活锁,12,19,0.6846,0.4828
3.4.8 饥饿,24,28,0.591,0.5234
3.5 经典问题,14,17,0.7691,0.6605
3.5.1 读者-写者问题,10,16,0.5659,0.3961
3.5.2 哲学家进餐问题,9,12,0.4356,0.3485
3.5.3 打瞌睡的理发师问题,21,28,0.5514,0.4411
3.6 多核环境下的进程同步,15,22,0.6174,0.4603
3.7 进程同步与通信实例,22,28,0.6427,0.5326
4.1 处理机调度类型,18,22,0.4598,0.3929
4.1.1 长程调度,12,13,0.5192,0.4873
4.1.2 中程调度,6,12,0.5127,0.3076
4.1.3 短程调度,18,29,0.3621,0.2522
4.2 单处理机调度算法,15,23,0.4679,0.3377
4.2.1 处理机调度功能与标准,11,14,0.6179,0.512
4.2.2 常用的处理机调度算法,10,14,0.5924,0.457
4.3 多处理机调度,13,15,0.5302,0.4736
4.3.1 多处理机调度考虑的问题,14,19,0.6732,0.5315
4.3.2 多处理机的进程调度,11,21,0.5606,0.347
4.3.3 多处理机的线程调度,13,19,0.5423,0.4053
4.4 实时调度,13,26,0.5891,0.3535
4.4.1 实时调度特点,20,21,0.5617,0.5403
4.4.2 常用的实时调度算法,5,10,0.346,0.2076
4.5 处理机调度实例,13,14,0.5208,0.491
4.6 处理机调度新进展,10,20,0.3066,0.1839
5.1 存储管理的功能,9,10,0.7649,0.7037
5.1.1 计算机系统的多级存储结构,27,28,0.4523,0.4394
5.1.2 存储管理的任务和功能,9,17,0.4602,0.2869
5.2 存储分配的几种形式与重定位,17,24,0.5603,0.4295
5.2.1 存储分配的几种形式,7,13,0.3047,0.1922
5.2.2 重定位,21,28,0.6265,0.5012
5.2.3 覆盖与交换,24,28,0.4219,0.3736
5.3 单道环境下的存储管理,19,28,0.5254,0.3903
5.4 分区存储管理,6,10,0.5695,0.3873
5.4.1 固定分区法,14,18,0.4801,0.3947
5.4.2 动态分区法,24,29,0.485,0.4181
5.5 页式存储管理,10,13,0.5391,0.4396
5.5.1 概述,13,24,0.3616,0.229
5.5.2 静态分页管理,6,11,0.4936,0.3141
5.5.3 虚拟页式存储管理,20,29,0.5008,0.3765
5.5.4 分页存储管理的优缺点,12,22,0.5823,0.3705
5.6 段式及段页式存储管理,14,22,0.3762,0.2668
5.6.1 段式存储管理,9,11,0.6285,0.5371
5.6.2 段式虚拟存储管理,16,22,0.4618,0.361
5.6.3 段页式虚拟存储管理,15,17,0.5895,0.534
5.7 内存管理实例,19,24,0.5599,0.4666
5.8 内存管理设计与实现问题,8,10,0.5197,0.4365
5.8.1 内存管理设计问题,17,30,0.4421,0.2888
5.8.2 内存管理实现问题,16,17,0.4217,0.4018
6.1 文件,10,20,0.4416,0.265
6.1.1 文件命名,18,23,0.6394,0.5282
6.1.2 文件类型,8,11,0.3754,0.2935
6.1.3 文件属性,12,14,0.6665,0.5903
6.1.4 文件的存取方法,17,21,0.5451,0.462
6.1.5 文件操作,23,30,0.452,0.3677
6.1.6 文件的逻辑结构,16,18,0.6853,0.6244
6.1.7 文件系统的布局,23,28,0.4664,0.3998
6.2 文件目录,10,15,0.2564,0.188
6.2.1 文件目录内容,24,29,0.4114,0.3547
6.2.2 文件目录结构,13,20,0.4554,0.3279
6.3 文件共享与保护,8,13,0.8491,0.5878
6.3.1 文件共享,16,19,0.5951,0.5199
6.3.2 文件保护,9,12,0.5626,0.4501
6.4 文件恢复,21,30,0.4176,0.3174
6.4.1 文件系统的一致性,12,23,0.3258,0.2011
6.4.2 日志文件系统,9,15,0.519,0.3529
6.5 文件存储空间的管理,18,23,0.6341,0.5238
6.5.1 空闲表法,18,28,0.5472,0.3908
6.5.2 空闲链表法,9,11,0.4939,0.4221
6.5.3 位示图法,7,10,0.6272,0.4766
6.5.4 链接索引表法,17,19,0.8197,0.7507
6.6 文件分配,16,20,0.4481,0.3764
6.6.1 连续分配,15,17,0.6381,0.5781
6.6.2 链接分配,15,24,0.6522,0.4565
6.6.3 索引链接分配,15,16,0.4278,0.4064
6.7 文件系统性能,22,27,0.4561,0.3885
6.7.1 高速缓存,15,16,0.4639,0.4407
6.7.2 预读取与异步写,10,12,0.589,0.5105
6.8 文件管理实例,5,10,0.506,0.3036
