knowledge_point,questions_done,total_questions,correct_rate,mastery
1.1 操作系统的定义,12,23,0.2683,0.1656
1.1.1 基本概念,21,23,0.3387,0.3152
1.1.2 计算机系统的视图,18,25,0.2624,0.2036
1.1.3 操作系统的基本功能,15,17,0.4053,0.3672
1.2 操作系统的形成和发展,10,13,0.4304,0.351
1.3 操作系统的分类,9,10,0.2327,0.2141
1.4 操作系统的运行环境,12,19,0.475,0.335
1.5 操作系统的结构,6,11,0.3115,0.1982
1.6 现代操作系统,12,13,0.5176,0.4858
1.6.1 现代操作系统技术特性,13,16,0.3222,0.2739
1.6.2 UNIX技术特性,11,15,0.2023,0.1592
1.6.3 Linux技术特性,12,18,0.147,0.1078
1.6.4 Windows Server技术特性,15,16,0.2861,0.2718
2.1 多道程序与并发执行,13,20,0.3638,0.2619
2.1.1 单道程序的顺序执行,13,25,0.2997,0.1846
2.1.2 多道程序的并发执行,16,27,0.4056,0.2734
2.2 进程模型,8,14,0.3849,0.2529
2.2.1 进程的概念,9,15,0.3329,0.2264
2.2.2 进程的实体,9,15,0.3396,0.2309
2.2.3 进程状态和转换,23,26,0.3243,0.2944
2.2.4 进程控制,21,23,0.232,0.2158
2.3 线程模型,8,13,0.3702,0.2563
2.3.1 线程的概念,15,22,0.2519,0.1878
2.3.2 线程与进程的比较,16,17,0.2924,0.2786
2.3.3 线程的实现,10,20,0.1934,0.116
2.3.4 线程调度激发,17,19,0.463,0.424
2.4 多核、多线程与超线程,23,24,0.3653,0.3532
2.5 进程、线程管理实例,25,28,0.1459,0.1334
3.1 进程互斥,9,10,0.31,0.2852
3.1.1 并发原理,18,24,0.2322,0.1858
3.1.2 临界资源与临界区,9,12,0.5973,0.4778
3.1.3 互斥的软、硬件实现方法,17,30,0.4622,0.302
3.1.4 信号量和P、V操作,8,15,0.4303,0.2697
3.2 进程同步,13,24,0.6097,0.3861
3.2.1 进程同步概念,9,10,0.3876,0.3566
3.2.2 用P、V操作实现同步,5,11,0.4055,0.2286
3.3 进程通信,18,25,0.4514,0.3503
3.3.1 进程通信的类型,9,11,0.2928,0.2502
3.3.2 进程通信中的问题,8,15,0.2013,0.1261
3.3.3 消息传递,10,14,0.405,0.3124
3.4 死锁,13,14,0.3723,0.351
3.4.1 死锁的概念,16,20,0.5946,0.4994
3.4.2 死锁的必要条件,17,18,0.6611,0.6317
3.4.3 死锁的防止,12,17,0.3762,0.2877
3.4.4 死锁的避免,27,28,0.3926,0.3814
3.4.5 死锁检测与恢复,19,25,0.2767,0.2236
3.4.6 两阶段加锁,12,21,0.2434,0.16
3.4.7 活锁,12,14,0.2824,0.2502
3.4.8 饥饿,13,23,0.2564,0.1672
3.5 经典问题,11,20,0.4395,0.2813
3.5.1 读者-写者问题,15,22,0.509,0.3794
3.5.2 哲学家进餐问题,22,23,0.3506,0.3384
3.5.3 打瞌睡的理发师问题,26,27,0.5522,0.5359
3.6 多核环境下的进程同步,9,14,0.5777,0.4126
3.7 进程同步与通信实例,18,26,0.3893,0.2935
4.1 处理机调度类型,22,28,0.2079,0.1723
4.1.1 长程调度,20,29,0.2825,0.2124
4.1.2 中程调度,9,17,0.3377,0.2106
4.1.3 短程调度,13,26,0.4072,0.2443
4.2 单处理机调度算法,12,18,0.4986,0.3656
4.2.1 处理机调度功能与标准,14,29,0.4612,0.2704
4.2.2 常用的处理机调度算法,13,23,0.2895,0.1888
4.3 多处理机调度,10,19,0.4393,0.2728
4.3.1 多处理机调度考虑的问题,23,29,0.3056,0.255
4.3.2 多处理机的进程调度,12,16,0.3508,0.2806
4.3.3 多处理机的线程调度,13,16,0.3934,0.3344
4.4 实时调度,7,10,0.1,0.076
4.4.1 实时调度特点,8,15,0.2692,0.1687
4.4.2 常用的实时调度算法,10,12,0.4197,0.3637
4.5 处理机调度实例,7,14,0.3675,0.2205
4.6 处理机调度新进展,14,27,0.1444,0.0888
5.1 存储管理的功能,17,24,0.4231,0.3244
5.1.1 计算机系统的多级存储结构,25,30,0.5241,0.4542
5.1.2 存储管理的任务和功能,7,15,0.4481,0.2569
5.2 存储分配的几种形式与重定位,16,19,0.2118,0.185
5.2.1 存储分配的几种形式,21,23,0.1781,0.1657
5.2.2 重定位,14,24,0.1836,0.1224
5.2.3 覆盖与交换,12,13,0.4945,0.464
5.3 单道环境下的存储管理,21,25,0.5444,0.4747
5.4 分区存储管理,11,15,0.4607,0.3624
5.4.1 固定分区法,29,30,0.2946,0.2868
5.4.2 动态分区法,18,19,0.4642,0.4447
5.5 页式存储管理,17,24,0.2027,0.1554
5.5.1 概述,19,23,0.212,0.1825
5.5.2 静态分页管理,10,13,0.3815,0.3111
5.5.3 虚拟页式存储管理,27,30,0.408,0.3753
5.5.4 分页存储管理的优缺点,20,26,0.3069,0.2502
5.6 段式及段页式存储管理,11,13,0.232,0.2035
5.6.1 段式存储管理,9,18,0.1963,0.1178
5.6.2 段式虚拟存储管理,23,30,0.2625,0.2135
5.6.3 段页式虚拟存储管理,18,21,0.3472,0.3075
5.7 内存管理实例,19,24,0.4383,0.3653
5.8 内存管理设计与实现问题,13,16,0.377,0.3205
5.8.1 内存管理设计问题,15,16,0.3789,0.3599
5.8.2 内存管理实现问题,13,25,0.1927,0.1187
6.1 文件,10,11,0.2669,0.2475
6.1.1 文件命名,20,30,0.1924,0.1411
6.1.2 文件类型,17,24,0.3257,0.2497
6.1.3 文件属性,20,28,0.3208,0.2475
6.1.4 文件的存取方法,13,14,0.3358,0.3166
6.1.5 文件操作,21,27,0.3987,0.3279
6.1.6 文件的逻辑结构,12,19,0.2934,0.2069
6.1.7 文件系统的布局,14,15,0.2916,0.2761
6.2 文件目录,20,24,0.3341,0.2895
6.2.1 文件目录内容,18,27,0.2288,0.1678
6.2.2 文件目录结构,13,22,0.2616,0.176
6.3 文件共享与保护,10,13,0.3788,0.3089
6.3.1 文件共享,10,17,0.3713,0.249
6.3.2 文件保护,24,27,0.3837,0.3496
6.4 文件恢复,9,14,0.2438,0.1741
6.4.1 文件系统的一致性,7,12,0.3304,0.2203
6.4.2 日志文件系统,17,28,0.4837,0.3317
6.5 文件存储空间的管理,22,23,0.3368,0.3251
6.5.1 空闲表法,11,21,0.3906,0.2418
6.5.2 空闲链表法,8,13,0.3602,0.2493
6.5.3 位示图法,17,19,0.4427,0.4054
6.5.4 链接索引表法,14,20,0.5116,0.3888
6.6 文件分配,20,25,0.3561,0.2991
6.6.1 连续分配,24,25,0.2856,0.2765
6.6.2 链接分配,17,18,0.5174,0.4944
6.6.3 索引链接分配,7,15,0.3901,0.2237
6.7 文件系统性能,26,30,0.4927,0.4401
6.7.1 高速缓存,9,10,0.3838,0.3531
6.7.2 预读取与异步写,16,24,0.4659,0.3417
6.8 文件管理实例,6,10,0.6325,0.4301
7.1 I/O管理概述,7,10,0.3288,0.2499
7.1.1 I/O管理目标与功能,10,14,0.4123,0.318
7.1.2 I/O系统组成,6,12,0.2031,0.1218
7.2 I/O控制方式,19,22,0.4631,0.4126
7.2.1 程序直接控制方式,9,13,0.3959,0.2984
7.2.2 中断控制方式,7,10,0.5183,0.3939
7.2.3 DMA控制方式,8,15,0.4885,0.3061
