knowledge_point,questions_done,total_questions,correct_rate,mastery
1.1 操作系统的定义,20,22,0.5238,0.4857
1.1.1 基本概念,10,17,0.8176,0.5483
1.1.2 计算机系统的视图,21,25,0.7016,0.6118
1.1.3 操作系统的基本功能,11,21,0.5684,0.3519
1.2 操作系统的形成和发展,21,25,0.9809,0.8553
1.3 操作系统的分类,12,15,0.5713,0.4799
1.4 操作系统的运行环境,12,25,0.6106,0.3566
1.5 操作系统的结构,10,13,0.8003,0.6525
1.6 现代操作系统,16,17,0.5499,0.524
1.6.1 现代操作系统技术特性,20,21,0.525,0.505
1.6.2 UNIX技术特性,18,29,0.6525,0.4545
1.6.3 Linux技术特性,8,14,0.678,0.4455
1.6.4 Windows Server技术特性,8,11,0.706,0.5519
2.1 多道程序与并发执行,22,27,0.6723,0.5727
2.1.1 单道程序的顺序执行,9,10,0.7096,0.6528
2.1.2 多道程序的并发执行,16,26,0.7358,0.5094
2.2 进程模型,26,30,0.6734,0.6016
2.2.1 进程的概念,16,22,0.682,0.5332
2.2.2 进程的实体,8,10,0.6753,0.5672
2.2.3 进程状态和转换,22,27,0.7591,0.6466
2.2.4 进程控制,6,12,0.7007,0.4204
2.3 线程模型,18,19,0.5962,0.5711
2.3.1 线程的概念,24,30,0.4561,0.3831
2.3.2 线程与进程的比较,18,29,0.9705,0.676
2.3.3 线程的实现,6,12,0.6023,0.3614
2.3.4 线程调度激发,16,22,0.8328,0.6511
2.4 多核、多线程与超线程,7,15,0.6024,0.3454
2.5 进程、线程管理实例,7,12,0.65,0.4333
3.1 进程互斥,9,12,0.7232,0.5786
3.1.1 并发原理,10,19,0.7505,0.4661
3.1.2 临界资源与临界区,7,11,0.6904,0.4896
3.1.3 互斥的软、硬件实现方法,19,23,0.6938,0.5973
3.1.4 信号量和P、V操作,15,21,0.7608,0.5869
3.2 进程同步,19,23,0.6806,0.5859
3.2.1 进程同步概念,13,22,0.8099,0.5448
3.2.2 用P、V操作实现同步,8,16,0.8415,0.5049
3.3 进程通信,21,23,0.5035,0.4685
3.3.1 进程通信的类型,14,15,0.7671,0.7262
3.3.2 进程通信中的问题,19,30,0.4378,0.3094
3.3.3 消息传递,19,22,0.7568,0.6742
3.4 死锁,20,23,0.8221,0.7363
3.4.1 死锁的概念,9,17,0.7385,0.4605
3.4.2 死锁的必要条件,17,21,0.6647,0.5634
3.4.3 死锁的防止,12,13,0.8302,0.7791
3.4.4 死锁的避免,11,18,0.6425,0.4426
3.4.5 死锁检测与恢复,20,23,0.6668,0.5972
3.4.6 两阶段加锁,21,23,0.8487,0.7896
3.4.7 活锁,23,30,0.7109,0.5782
3.4.8 饥饿,6,12,0.624,0.3744
3.5 经典问题,15,21,0.6354,0.4902
3.5.1 读者-写者问题,15,16,0.7296,0.6932
3.5.2 哲学家进餐问题,9,12,0.7163,0.5731
3.5.3 打瞌睡的理发师问题,29,30,0.7446,0.7248
3.6 多核环境下的进程同步,9,13,0.8049,0.6068
3.7 进程同步与通信实例,10,16,0.8785,0.6149
4.1 处理机调度类型,12,17,0.6195,0.4737
4.1.1 长程调度,7,13,0.6003,0.3787
4.1.2 中程调度,12,18,0.6508,0.4772
4.1.3 短程调度,15,17,0.6856,0.621
4.2 单处理机调度算法,10,19,0.635,0.3943
4.2.1 处理机调度功能与标准,22,26,0.5556,0.4872
4.2.2 常用的处理机调度算法,23,24,0.6962,0.673
4.3 多处理机调度,7,10,0.6386,0.4854
4.3.1 多处理机调度考虑的问题,18,23,0.7299,0.603
4.3.2 多处理机的进程调度,10,12,0.5526,0.4789
4.3.3 多处理机的线程调度,19,20,0.5836,0.5602
4.4 实时调度,7,10,0.7605,0.578
4.4.1 实时调度特点,7,10,0.623,0.4735
4.4.2 常用的实时调度算法,24,29,0.5701,0.4915
4.5 处理机调度实例,5,10,0.6889,0.4133
4.6 处理机调度新进展,7,13,0.8392,0.5294
5.1 存储管理的功能,19,23,0.5831,0.502
5.1.1 计算机系统的多级存储结构,12,19,0.7341,0.5177
5.1.2 存储管理的任务和功能,10,12,0.8125,0.7041
5.2 存储分配的几种形式与重定位,22,24,0.642,0.5992
5.2.1 存储分配的几种形式,13,18,0.5938,0.4618
5.2.2 重定位,15,16,0.7816,0.7425
5.2.3 覆盖与交换,20,23,0.5154,0.4616
5.3 单道环境下的存储管理,12,23,0.7373,0.4552
5.4 分区存储管理,6,13,0.5412,0.3081
5.4.1 固定分区法,12,23,0.6788,0.4191
5.4.2 动态分区法,12,18,0.5432,0.3983
5.5 页式存储管理,17,25,0.7989,0.5944
5.5.1 概述,12,22,0.7106,0.4522
5.5.2 静态分页管理,11,19,0.7201,0.4776
5.5.3 虚拟页式存储管理,10,15,0.6693,0.4908
5.5.4 分页存储管理的优缺点,19,28,0.8201,0.6092
5.6 段式及段页式存储管理,8,15,0.7049,0.4418
5.6.1 段式存储管理,20,21,0.8755,0.8422
5.6.2 段式虚拟存储管理,6,12,0.4649,0.279
