knowledge_point,questions_done,total_questions,correct_rate,mastery
1.1 操作系统的定义,20,29,0.3448,0.2592
1.1.1 基本概念,16,28,0.3475,0.2284
1.1.2 计算机系统的视图,9,10,0.4735,0.4356
1.1.3 操作系统的基本功能,11,18,0.3608,0.2486
1.2 操作系统的形成和发展,15,16,0.4491,0.4266
1.3 操作系统的分类,19,27,0.3835,0.2926
1.4 操作系统的运行环境,22,28,0.6286,0.5208
1.5 操作系统的结构,25,28,0.4236,0.3873
1.6 现代操作系统,6,11,0.3868,0.2461
1.6.1 现代操作系统技术特性,16,28,0.3744,0.246
1.6.2 UNIX技术特性,14,28,0.7663,0.4598
1.6.3 Linux技术特性,7,11,0.3633,0.2576
1.6.4 Windows Server技术特性,14,28,0.5418,0.3251
2.1 多道程序与并发执行,19,21,0.5004,0.4623
2.1.1 单道程序的顺序执行,8,16,0.4522,0.2713
2.1.2 多道程序的并发执行,16,30,0.426,0.267
2.2 进程模型,13,16,0.2976,0.2529
2.2.1 进程的概念,14,23,0.4364,0.2998
2.2.2 进程的实体,18,27,0.5246,0.3847
2.2.3 进程状态和转换,24,30,0.1719,0.1444
2.2.4 进程控制,13,21,0.4723,0.3284
2.3 线程模型,10,15,0.5987,0.439
2.3.1 线程的概念,9,18,0.4928,0.2957
2.3.2 线程与进程的比较,11,20,0.371,0.2374
2.3.3 线程的实现,16,28,0.5049,0.3318
2.3.4 线程调度激发,11,14,0.5409,0.4482
2.4 多核、多线程与超线程,9,16,0.4505,0.2928
2.5 进程、线程管理实例,13,19,0.3974,0.297
3.1 进程互斥,12,16,0.5608,0.4486
3.1.1 并发原理,7,13,0.3285,0.2072
3.1.2 临界资源与临界区,20,21,0.5891,0.5667
3.1.3 互斥的软、硬件实现方法,13,23,0.6912,0.4508
3.1.4 信号量和P、V操作,15,30,0.3256,0.1954
3.2 进程同步,19,23,0.5818,0.5008
3.2.1 进程同步概念,20,23,0.3955,0.3542
3.2.2 用P、V操作实现同步,14,26,0.7543,0.4758
3.3 进程通信,12,15,0.24,0.2016
3.3.1 进程通信的类型,29,30,0.4511,0.439
3.3.2 进程通信中的问题,24,26,0.4645,0.4359
3.3.3 消息传递,14,20,0.5166,0.3926
3.4 死锁,18,19,0.3569,0.3418
3.4.1 死锁的概念,13,16,0.4181,0.3554
3.4.2 死锁的必要条件,8,11,0.7326,0.5728
3.4.3 死锁的防止,9,19,0.5092,0.2948
3.4.4 死锁的避免,11,22,0.4324,0.2594
3.4.5 死锁检测与恢复,21,24,0.4027,0.3624
3.4.6 两阶段加锁,9,15,0.5066,0.3445
3.4.7 活锁,10,13,0.4328,0.3529
3.4.8 饥饿,9,12,0.3752,0.3001
