knowledge_point,questions_done,total_questions,correct_rate,mastery
1.1 操作系统的定义,10,16,0.8744,0.6121
1.1.1 基本概念,15,25,0.8601,0.5849
1.1.2 计算机系统的视图,24,25,0.6941,0.6719
1.1.3 操作系统的基本功能,10,16,0.6711,0.4698
1.2 操作系统的形成和发展,25,30,0.872,0.7557
1.3 操作系统的分类,11,19,0.671,0.445
1.4 操作系统的运行环境,7,10,0.6356,0.483
1.5 操作系统的结构,12,14,0.8911,0.7892
1.6 现代操作系统,18,25,0.8651,0.6714
1.6.1 现代操作系统技术特性,18,22,0.8051,0.688
1.6.2 UNIX技术特性,6,11,0.8766,0.5578
1.6.3 Linux技术特性,12,19,0.7899,0.5571
1.6.4 Windows Server技术特性,16,21,0.8299,0.6718
2.1 多道程序与并发执行,10,13,0.6951,0.5668
2.1.1 单道程序的顺序执行,12,20,0.7867,0.535
2.1.2 多道程序的并发执行,19,28,0.6806,0.5056
2.2 进程模型,9,15,0.6202,0.4217
2.2.1 进程的概念,7,11,0.7099,0.5034
2.2.2 进程的实体,23,26,0.6707,0.6087
2.2.3 进程状态和转换,9,11,0.9229,0.7887
2.2.4 进程控制,11,13,0.7336,0.6433
2.3 线程模型,21,27,0.7247,0.5959
2.3.1 线程的概念,16,17,0.7945,0.7571
2.3.2 线程与进程的比较,17,20,0.7485,0.6587
2.3.3 线程的实现,20,22,0.8782,0.8144
2.3.4 线程调度激发,17,18,0.8693,0.8306
2.4 多核、多线程与超线程,11,20,0.7929,0.5074
2.5 进程、线程管理实例,22,24,0.7268,0.6784
3.1 进程互斥,7,11,0.7882,0.5589
3.1.1 并发原理,22,28,0.8384,0.6946
3.1.2 临界资源与临界区,16,22,0.5878,0.4596
3.1.3 互斥的软、硬件实现方法,11,21,0.99,0.6129
3.1.4 信号量和P、V操作,12,13,0.8099,0.7601
3.2 进程同步,21,24,0.9343,0.8409
3.2.1 进程同步概念,7,11,0.7923,0.5618
3.2.2 用P、V操作实现同步,15,20,0.8576,0.6861
3.3 进程通信,7,10,0.8067,0.6131
3.3.1 进程通信的类型,9,19,0.7452,0.4314
3.3.2 进程通信中的问题,10,13,0.9424,0.7685
3.3.3 消息传递,17,19,0.7739,0.7087
3.4 死锁,28,30,0.7005,0.6631
3.4.1 死锁的概念,13,25,0.7798,0.4804
3.4.2 死锁的必要条件,12,16,0.7101,0.5681
3.4.3 死锁的防止,19,20,0.8416,0.8079
3.4.4 死锁的避免,22,24,0.8083,0.7544
3.4.5 死锁检测与恢复,9,14,0.7912,0.5651
3.4.6 两阶段加锁,24,28,0.7361,0.6519
3.4.7 活锁,23,26,0.9129,0.8286
3.4.8 饥饿,14,25,0.7745,0.5018
3.5 经典问题,8,15,0.5001,0.3134
3.5.1 读者-写者问题,6,10,0.8806,0.5988
3.5.2 哲学家进餐问题,18,21,0.9465,0.8383
3.5.3 打瞌睡的理发师问题,17,19,0.8633,0.7906
3.6 多核环境下的进程同步,13,23,0.8288,0.5405
3.7 进程同步与通信实例,15,22,0.8383,0.6249
4.1 处理机调度类型,8,13,0.8292,0.5741
4.1.1 长程调度,10,14,0.9185,0.7086
4.1.2 中程调度,11,15,0.8326,0.655
4.1.3 短程调度,15,29,0.5019,0.308
4.2 单处理机调度算法,15,19,0.8854,0.7363
4.2.1 处理机调度功能与标准,13,21,0.6702,0.466
4.2.2 常用的处理机调度算法,20,28,0.808,0.6233
4.3 多处理机调度,11,17,0.7326,0.5258
4.3.1 多处理机调度考虑的问题,9,17,0.698,0.4352
4.3.2 多处理机的进程调度,13,23,0.6961,0.454
4.3.3 多处理机的线程调度,17,24,0.5985,0.4588
4.4 实时调度,10,14,0.8019,0.6186
4.4.1 实时调度特点,21,25,0.5004,0.4364
4.4.2 常用的实时调度算法,20,24,0.7403,0.6416
4.5 处理机调度实例,21,25,0.657,0.5729
4.6 处理机调度新进展,13,18,0.7889,0.6136
5.1 存储管理的功能,20,22,0.6913,0.641
5.1.1 计算机系统的多级存储结构,17,27,0.7691,0.5412
5.1.2 存储管理的任务和功能,27,29,0.6454,0.6098
5.2 存储分配的几种形式与重定位,14,22,0.6571,0.466
5.2.1 存储分配的几种形式,14,26,0.7367,0.4647
5.2.2 重定位,20,24,0.821,0.7116
5.2.3 覆盖与交换,27,28,0.7163,0.6958
5.3 单道环境下的存储管理,7,13,0.8682,0.5477
5.4 分区存储管理,7,15,0.5902,0.3384
5.4.1 固定分区法,11,21,0.7541,0.4668
5.4.2 动态分区法,19,23,0.7579,0.6525
5.5 页式存储管理,13,18,0.7193,0.5595
5.5.1 概述,7,13,0.8169,0.5153
5.5.2 静态分页管理,15,17,0.7019,0.6358
5.5.3 虚拟页式存储管理,9,13,0.5984,0.4511
5.5.4 分页存储管理的优缺点,15,23,0.8972,0.6476
5.6 段式及段页式存储管理,12,15,0.8421,0.7073
5.6.1 段式存储管理,15,27,0.5322,0.343
5.6.2 段式虚拟存储管理,10,14,0.784,0.6048
5.6.3 段页式虚拟存储管理,22,24,0.7857,0.7333
5.7 内存管理实例,7,13,0.9061,0.5716
5.8 内存管理设计与实现问题,28,30,0.7588,0.7184
5.8.1 内存管理设计问题,10,12,0.99,0.858
5.8.2 内存管理实现问题,8,11,0.7549,0.5902
6.1 文件,16,29,0.7867,0.5046
6.1.1 文件命名,8,12,0.6332,0.4644
6.1.2 文件类型,21,30,0.6306,0.4793
6.1.3 文件属性,10,12,0.9326,0.8083
6.1.4 文件的存取方法,9,11,0.7749,0.6622
6.1.5 文件操作,14,22,0.6705,0.4754
6.1.6 文件的逻辑结构,8,12,0.9327,0.684
6.1.7 文件系统的布局,11,13,0.987,0.8656
6.2 文件目录,23,27,0.4676,0.4122
6.2.1 文件目录内容,21,25,0.5447,0.475
6.2.2 文件目录结构,21,27,0.5968,0.4907
6.3 文件共享与保护,26,28,0.8929,0.8419
6.3.1 文件共享,15,22,0.8,0.5964
6.3.2 文件保护,7,13,0.7644,0.4822
6.4 文件恢复,17,24,0.8568,0.6569
6.4.1 文件系统的一致性,13,25,0.9222,0.5681
6.4.2 日志文件系统,7,15,0.9304,0.5335
6.5 文件存储空间的管理,17,27,0.7007,0.4931
6.5.1 空闲表法,12,20,0.5103,0.347
6.5.2 空闲链表法,19,24,0.6709,0.5591
6.5.3 位示图法,22,26,0.4198,0.3682
6.5.4 链接索引表法,15,26,0.6282,0.4156
6.6 文件分配,28,29,0.9196,0.8942
6.6.1 连续分配,8,10,0.6474,0.5438
6.6.2 链接分配,9,12,0.7464,0.5971
6.6.3 索引链接分配,15,19,0.8549,0.7109
6.7 文件系统性能,14,28,0.7341,0.4404
6.7.1 高速缓存,5,11,0.8689,0.4898
6.7.2 预读取与异步写,16,24,0.849,0.6226
6.8 文件管理实例,19,24,0.6882,0.5735
7.1 I/O管理概述,22,25,0.99,0.895
7.1.1 I/O管理目标与功能,25,29,0.841,0.7482
7.1.2 I/O系统组成,9,18,0.8492,0.5095
7.2 I/O控制方式,23,24,0.8094,0.7824
7.2.1 程序直接控制方式,16,21,0.7805,0.6318
7.2.2 中断控制方式,19,21,0.6863,0.634
7.2.3 DMA控制方式,11,14,0.8179,0.6777
7.2.4 通道控制方式,7,15,0.7972,0.4571
7.3 I/O缓冲,13,17,0.7263,0.5896
7.3.1 单缓冲,11,20,0.7386,0.4727
7.3.2 双缓冲,18,19,0.6299,0.6034
7.3.3 循环缓冲,13,25,0.428,0.2636
7.3.4 缓冲池,10,13,0.947,0.7722
7.3.5 缓冲的作用,12,16,0.5798,0.4638
7.4 设备驱动程序,13,22,0.701,0.4716
7.5 设备分配,5,11,0.7734,0.4359
7.5.1 设备分配原则与分配方式,14,25,0.6593,0.4272
7.5.2 设备分配时应考虑的因素,7,13,0.6056,0.382
7.5.3 设备分配中的数据结构,7,10,0.537,0.4081
7.5.4 I/O设备分配的基本流程,7,12,0.56,0.3733
7.5.5 SPOOLing技术,16,18,0.6439,0.5867
7.6 磁盘存储器的管理,18,28,0.7461,0.533
7.6.1 磁盘性能参数,8,17,0.5967,0.344
7.6.2 磁盘调度,8,10,0.7281,0.6116
7.6.3 磁盘阵列,10,19,0.5516,0.3426
7.7 时钟管理和电源管理,6,13,0.99,0.5635
7.7.1 时钟管理,12,17,0.99,0.7571
7.7.2 电源管理,19,27,0.6847,0.5224
7.8 I/O管理实例,13,15,0.5795,0.5177
8.1 计算机安全概述,7,12,0.9091,0.6061
